Format Version,1.23,Take Name,mono2_3d_trial3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-23 06.51.28.616 AM,Total Frames in Take,2442,Total Exported Frames,2442,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6
,ID,"7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","C3550","C3550","C3550","C3560","C3560","C3560","C3750","C3750","C3750","C3680","C3680","C3680","C3690","C3690","C3690","C3660","C3660","C3660"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002630,-0.006100,-0.000351,-0.999978,-0.871665,0.124127,-0.032233,0.000364,-0.828172,0.161471,-0.002773,0.938297,-0.840422,0.140271,-0.062658,0.919633,-0.892079,0.140147,-0.104321,0.906956,-0.920133,0.162471,-0.010115,0.944386,-0.828855,0.071069,-0.002727,0.786512,-0.920326,0.069330,-0.010806,0.930039,-0.828217,0.161707,-0.002713,-0.840440,0.140572,-0.062768,-0.892244,0.140355,-0.104581,-0.920147,0.162389,-0.010321,-0.828754,0.070280,-0.002418,-0.920182,0.069439,-0.010592
1,0.010000,0.002741,-0.006118,-0.000290,-0.999978,-0.871656,0.124112,-0.032234,0.000361,-0.828158,0.161458,-0.002784,0.938297,-0.840413,0.140246,-0.062664,0.919633,-0.892071,0.140119,-0.104325,0.906956,-0.920119,0.162468,-0.010123,0.944386,-0.828852,0.071056,-0.002718,0.786512,-0.920323,0.069327,-0.010793,0.930039,-0.828203,0.161693,-0.002709,-0.840420,0.140547,-0.062796,-0.892229,0.140306,-0.104604,-0.920151,0.162393,-0.010291,-0.828762,0.070277,-0.002416,-0.920169,0.069446,-0.010586
2,0.020000,0.002857,-0.006309,-0.000211,-0.999976,-0.871667,0.124122,-0.032213,0.000375,-0.828152,0.161468,-0.002788,0.937472,-0.840432,0.140244,-0.062658,0.917759,-0.892107,0.140115,-0.104299,0.907292,-0.920115,0.162490,-0.010092,0.953177,-0.828860,0.071066,-0.002701,0.789765,-0.920334,0.069349,-0.010740,0.928980,-0.828207,0.161715,-0.002712,-0.840446,0.140569,-0.062774,-0.892238,0.140310,-0.104573,-0.920150,0.162398,-0.010298,-0.828747,0.070229,-0.002431,-0.920206,0.069481,-0.010479
3,0.030000,0.002873,-0.006253,-0.000120,-0.999976,-0.871660,0.124119,-0.032220,0.000381,-0.828142,0.161459,-0.002791,0.934048,-0.840419,0.140234,-0.062662,0.913570,-0.892089,0.140114,-0.104309,0.909842,-0.920104,0.162497,-0.010105,0.942835,-0.828866,0.071057,-0.002701,0.778481,-0.920340,0.069356,-0.010751,0.920252,-0.828217,0.161694,-0.002709,-0.840442,0.140577,-0.062776,-0.892216,0.140283,-0.104575,-0.920138,0.162420,-0.010309,-0.828751,0.070184,-0.002438,-0.920191,0.069514,-0.010499
4,0.040000,0.002598,-0.006135,-0.000237,-0.999978,-0.871660,0.124117,-0.032236,0.000377,-0.828157,0.161450,-0.002777,0.934880,-0.840416,0.140256,-0.062662,0.909623,-0.892076,0.140147,-0.104322,0.914978,-0.920118,0.162472,-0.010112,0.944946,-0.828861,0.071048,-0.002737,0.770438,-0.920333,0.069331,-0.010809,0.916714,-0.828210,0.161702,-0.002708,-0.840438,0.140575,-0.062765,-0.892224,0.140332,-0.104594,-0.920154,0.162427,-0.010309,-0.828745,0.070176,-0.002443,-0.920185,0.069445,-0.010585
5,0.050000,0.002694,-0.006069,-0.000292,-0.999978,-0.871664,0.124116,-0.032230,0.000361,-0.828169,0.161460,-0.002772,0.933457,-0.840417,0.140253,-0.062654,0.916144,-0.892072,0.140129,-0.104321,0.909747,-0.920129,0.162469,-0.010119,0.948779,-0.828862,0.071057,-0.002714,0.768169,-0.920333,0.069328,-0.010798,0.927031,-0.828209,0.161717,-0.002704,-0.840447,0.140588,-0.062768,-0.892211,0.140294,-0.104584,-0.920135,0.162398,-0.010301,-0.828771,0.070247,-0.002427,-0.920206,0.069430,-0.010586
