Format Version,1.23,Take Name,mono2_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-21 07.48.33.168 AM,Total Frames in Take,3602,Total Exported Frames,3602,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6
,ID,"7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","C3F70","C3F70","C3F70","C4130","C4130","C4130","C4150","C4150","C4150","C4160","C4160","C4160","C51E0","C51E0","C51E0","C41E0","C41E0","C41E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000734,-0.045094,-0.001465,-0.998981,-0.805928,0.124271,-0.077425,0.000313,-0.760336,0.161518,-0.051191,0.884807,-0.777180,0.140687,-0.110082,0.972795,-0.831927,0.140723,-0.147592,0.965726,-0.852590,0.162360,-0.051336,0.950875,-0.760858,0.071116,-0.051706,0.880920,-0.852677,0.069225,-0.052641,0.933856,-0.760333,0.161978,-0.051221,-0.777100,0.140630,-0.110128,-0.831954,0.140849,-0.147639,-0.852657,0.162545,-0.051324,-0.760773,0.070650,-0.051649,-0.852751,0.068977,-0.052586
1,0.010000,-0.000583,-0.045161,-0.001345,-0.998979,-0.805927,0.124302,-0.077410,0.000302,-0.760323,0.161546,-0.051194,0.879484,-0.777180,0.140701,-0.110076,0.972565,-0.831932,0.140737,-0.147579,0.968191,-0.852578,0.162409,-0.051327,0.958367,-0.760866,0.071144,-0.051680,0.874080,-0.852685,0.069274,-0.052603,0.946783,-0.760328,0.162028,-0.051194,-0.777100,0.140639,-0.110119,-0.831951,0.140853,-0.147628,-0.852657,0.162555,-0.051333,-0.760782,0.070648,-0.051665,-0.852747,0.069087,-0.052521
2,0.020000,-0.000770,-0.045122,-0.001519,-0.998980,-0.805930,0.124286,-0.077413,0.000309,-0.760340,0.161535,-0.051180,0.879484,-0.777185,0.140707,-0.110071,0.972565,-0.831935,0.140740,-0.147578,0.968191,-0.852594,0.162367,-0.051319,0.958367,-0.760852,0.071133,-0.051701,0.874080,-0.852671,0.069233,-0.052632,0.946783,-0.760333,0.162017,-0.051198,-0.777098,0.140629,-0.110118,-0.831967,0.140864,-0.147606,-0.852657,0.162558,-0.051317,-0.760785,0.070672,-0.051659,-0.852739,0.068973,-0.052581
3,0.030000,-0.000608,-0.045221,-0.001294,-0.998976,-0.805929,0.124292,-0.077411,0.000292,-0.760318,0.161531,-0.051200,0.888916,-0.777184,0.140690,-0.110080,0.970740,-0.831941,0.140734,-0.147576,0.965392,-0.852572,0.162403,-0.051321,0.957209,-0.760869,0.071129,-0.051689,0.882130,-0.852689,0.069268,-0.052602,0.944249,-0.760332,0.161974,-0.051220,-0.777090,0.140630,-0.110117,-0.831956,0.140860,-0.147630,-0.852657,0.162552,-0.051321,-0.760790,0.070664,-0.051670,-0.852748,0.069073,-0.052511
4,0.040000,-0.000593,-0.045257,-0.001240,-0.998975,-0.805936,0.124293,-0.077406,0.000298,-0.760319,0.161527,-0.051199,0.888916,-0.777192,0.140686,-0.110078,0.970740,-0.831951,0.140734,-0.147570,0.965392,-0.852574,0.162410,-0.051314,0.957209,-0.760881,0.071125,-0.051686,0.882130,-0.852701,0.069274,-0.052591,0.944249,-0.760338,0.161983,-0.051226,-0.777092,0.140638,-0.110107,-0.831966,0.140857,-0.147615,-0.852657,0.162559,-0.051323,-0.760787,0.070643,-0.051673,-0.852778,0.069077,-0.052495
5,0.050000,-0.000617,-0.045217,-0.001333,-0.998976,-0.805930,0.124300,-0.077406,0.000287,-0.760322,0.161541,-0.051193,0.888689,-0.777186,0.140700,-0.110074,0.971538,-0.831942,0.140741,-0.147571,0.966716,-0.852576,0.162407,-0.051316,0.956534,-0.760867,0.071139,-0.051685,0.880415,-0.852686,0.069272,-0.052598,0.945619,-0.760334,0.161986,-0.051217,-0.777094,0.140643,-0.110111,-0.831963,0.140868,-0.147605,-0.852661,0.162558,-0.051328,-0.760787,0.070668,-0.051660,-0.852740,0.069077,-0.052516
6,0.060000,-0.000590,-0.045178,-0.001287,-0.998978,-0.805928,0.124297,-0.077414,0.000288,-0.760318,0.161536,-0.051199,0.888689,-0.777179,0.140693,-0.110080,0.971538,-0.831933,0.140736,-0.147581,0.966716,-0.852572,0.162410,-0.051329,0.956534,-0.760871,0.071134,-0.051686,0.880415,-0.852691,0.069275,-0.052606,0.945619,-0.760335,0.161995,-0.051215,-0.777098,0.140627,-0.110115,-0.831944,0.140863,-0.147626,-0.852645,0.162557,-0.051337,-0.760790,0.070664,-0.051671,-0.852754,0.069078,-0.052517
7,0.070000,-0.000605,-0.045216,-0.001317,-0.998976,-0.805928,0.124295,-0.077410,0.000296,-0.760319,0.161536,-0.051198,0.885689,-0.777183,0.140694,-0.110079,0.973863,-0.831940,0.140735,-0.147575,0.965016,-0.852573,0.162404,-0.051321,0.957023,-0.760867,0.071133,-0.051688,0.875188,-0.852686,0.069269,-0.052601,0.945723,-0.760341,0.161992,-0.051222,-0.777104,0.140634,-0.110112,-0.831952,0.140864,-0.147627,-0.852654,0.162556,-0.051324,-0.760769,0.070645,-0.051662,-0.852749,0.069080,-0.052514
8,0.080000,-0.000647,-0.045224,-0.001288,-0.998976,-0.805940,0.124314,-0.077410,0.000301,-0.760328,0.161549,-0.051195,0.885689,-0.777195,0.140713,-0.110077,0.973863,-0.831952,0.140761,-0.147573,0.965016,-0.852583,0.162423,-0.051317,0.957023,-0.760882,0.071147,-0.051692,0.875188,-0.852701,0.069288,-0.052604,0.945723,-0.760339,0.161987,-0.051230,-0.777094,0.140639,-0.110114,-0.831974,0.140921,-0.147631,-0.852668,0.162566,-0.051324,-0.760788,0.070697,-0.051655,-0.852778,0.069071,-0.052504
9,0.090000,-0.000628,-0.045254,-0.001276,-0.998975,-0.805931,0.124295,-0.077412,0.000287,-0.760317,0.161531,-0.051201,0.887452,-0.777188,0.140693,-0.110082,0.972228,-0.831947,0.140740,-0.147574,0.965460,-0.852571,0.162407,-0.051317,0.959051,-0.760872,0.071129,-0.051695,0.878684,-0.852692,0.069272,-0.052601,0.947771,-0.760327,0.161980,-0.051225,-0.777101,0.140633,-0.110118,-0.831965,0.140872,-0.147613,-0.852658,0.162545,-0.051329,-0.760787,0.070652,-0.051669,-0.852748,0.069090,-0.052516
10,0.100000,-0.000612,-0.045231,-0.001239,-0.998976,-0.805931,0.124293,-0.077411,0.000306,-0.760315,0.161526,-0.051200,0.887452,-0.777185,0.140687,-0.110080,0.972228,-0.831942,0.140737,-0.147575,0.965460,-0.852569,0.162409,-0.051320,0.959051,-0.760877,0.071124,-0.051690,0.878684,-0.852697,0.069274,-0.052600,0.947771,-0.760332,0.161988,-0.051223,-0.777088,0.140636,-0.110122,-0.831952,0.140866,-0.147630,-0.852663,0.162552,-0.051318,-0.760783,0.070631,-0.051671,-0.852769,0.069086,-0.052501
11,0.110000,-0.000637,-0.045247,-0.001256,-0.998975,-0.805929,0.124297,-0.077406,0.000288,-0.760313,0.161530,-0.051194,0.886900,-0.777184,0.140694,-0.110075,0.974966,-0.831943,0.140744,-0.147568,0.968418,-0.852567,0.162410,-0.051311,0.957947,-0.760872,0.071128,-0.051689,0.876377,-0.852692,0.069275,-0.052596,0.945835,-0.760328,0.161981,-0.051227,-0.777098,0.140651,-0.110104,-0.831954,0.140865,-0.147604,-0.852650,0.162556,-0.051322,-0.760785,0.070642,-0.051666,-0.852755,0.069086,-0.052511
12,0.120000,-0.000582,-0.045243,-0.001312,-0.998975,-0.805933,0.124292,-0.077409,0.000289,-0.760322,0.161534,-0.051201,0.886900,-0.777190,0.140689,-0.110080,0.974966,-0.831949,0.140729,-0.147573,0.968418,-0.852576,0.162403,-0.051319,0.957947,-0.760871,0.071132,-0.051686,0.876377,-0.852690,0.069268,-0.052594,0.945835,-0.760334,0.161987,-0.051225,-0.777103,0.140631,-0.110114,-0.831961,0.140849,-0.147612,-0.852662,0.162550,-0.051321,-0.760785,0.070658,-0.051667,-0.852753,0.069080,-0.052514
13,0.130000,-0.000581,-0.045231,-0.001292,-0.998976,-0.805934,0.124289,-0.077412,0.000290,-0.760322,0.161529,-0.051203,0.884488,-0.777189,0.140685,-0.110082,0.969332,-0.831947,0.140727,-0.147577,0.966942,-0.852576,0.162402,-0.051323,0.957774,-0.760874,0.071127,-0.051688,0.878824,-0.852694,0.069266,-0.052598,0.947402,-0.760341,0.161990,-0.051220,-0.777096,0.140614,-0.110118,-0.831966,0.140851,-0.147618,-0.852659,0.162549,-0.051325,-0.760790,0.070650,-0.051671,-0.852752,0.069081,-0.052517
14,0.140000,-0.000572,-0.045212,-0.001227,-0.998977,-0.805936,0.124294,-0.077409,0.000295,-0.760320,0.161528,-0.051199,0.884488,-0.777188,0.140685,-0.110078,0.969332,-0.831944,0.140733,-0.147576,0.966942,-0.852574,0.162413,-0.051323,0.957774,-0.760884,0.071126,-0.051682,0.878824,-0.852704,0.069278,-0.052596,0.947402,-0.760339,0.161976,-0.051228,-0.777088,0.140633,-0.110114,-0.831958,0.140863,-0.147626,-0.852667,0.162550,-0.051327,-0.760790,0.070645,-0.051662,-0.852772,0.069097,-0.052499
