Format Version,1.23,Take Name,mono3d_angle_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-28 04.06.01.934 PM,Total Frames in Take,3305,Total Exported Frames,3305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204
,ID,"7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","7FFA83E277BD11EFEA32166A2DC02B6","C5890","C5890","C5890","C3560","C3560","C3560","C5B20","C5B20","C5B20","C4080","C4080","C4080","C4090","C4090","C4090","C4030","C4030","C4030","C5CE0","C5CE0","C5CE0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.022658,-0.051705,-0.011056,-0.998344,-0.720331,0.177796,0.067346,0.000562,-0.675224,0.217158,0.091223,0.911642,-0.692361,0.193291,0.033582,0.964874,-0.747568,0.190452,-0.003138,0.895893,-0.767469,0.216057,0.092300,0.880779,-0.673801,0.126837,0.094851,0.586216,-0.765563,0.122980,0.095257,0.857548,-0.675558,0.217272,0.091227,-0.692468,0.193350,0.033513,-0.747574,0.190868,-0.003115,-0.767693,0.216252,0.091927,-0.673429,0.125238,0.095062,-0.765131,0.123227,0.095536,,,
1,0.010000,0.022832,-0.051783,-0.010902,-0.998338,-0.720327,0.177800,0.067348,0.000568,-0.675205,0.217158,0.091204,0.911642,-0.692357,0.193275,0.033575,0.964874,-0.747570,0.190439,-0.003137,0.895893,-0.767451,0.216085,0.092296,0.880779,-0.673808,0.126838,0.094865,0.586216,-0.765571,0.123008,0.095286,0.857548,-0.675554,0.217267,0.091212,-0.692454,0.193311,0.033489,-0.747566,0.190871,-0.003113,-0.767697,0.216245,0.091931,-0.673425,0.125253,0.095064,-0.765131,0.123300,0.095576,,,
2,0.020000,0.022646,-0.051686,-0.010943,-0.998347,-0.720333,0.177780,0.067352,0.000561,-0.675218,0.217132,0.091232,0.908518,-0.692358,0.193269,0.033590,0.966427,-0.747564,0.190444,-0.003133,0.891819,-0.767464,0.216052,0.092305,0.882869,-0.673816,0.126810,0.094859,0.589373,-0.765578,0.122974,0.095261,0.849295,-0.675548,0.217222,0.091226,-0.692467,0.193344,0.033514,-0.747577,0.190866,-0.003113,-0.767695,0.216246,0.091924,-0.673445,0.125241,0.095114,-0.765137,0.123219,0.095538,,,
3,0.030000,0.022757,-0.051814,-0.010950,-0.998338,-0.720313,0.177778,0.067342,0.000577,-0.675193,0.217136,0.091202,0.914339,-0.692347,0.193260,0.033570,0.961868,-0.747562,0.190426,-0.003139,0.894345,-0.767439,0.216055,0.092299,0.878299,-0.673788,0.126816,0.094848,0.591879,-0.765550,0.122978,0.095275,0.856122,-0.675551,0.217267,0.091212,-0.692450,0.193311,0.033492,-0.747572,0.190864,-0.003116,-0.767632,0.216145,0.091904,-0.673428,0.125261,0.095058,-0.765125,0.123300,0.095574,,,
4,0.040000,0.022587,-0.051759,-0.011025,-0.998343,-0.720317,0.177756,0.067336,0.000570,-0.675205,0.217111,0.091213,0.904753,-0.692349,0.193253,0.033572,0.965428,-0.747561,0.190424,-0.003144,0.890160,-0.767450,0.216018,0.092301,0.887925,-0.673788,0.126790,0.094829,0.597530,-0.765550,0.122939,0.095244,0.847080,-0.675572,0.217236,0.091204,-0.692452,0.193316,0.033491,-0.747569,0.190865,-0.003110,-0.767633,0.216137,0.091903,-0.673427,0.125264,0.095068,-0.765132,0.123219,0.095538,,,
5,0.050000,0.022692,-0.051815,-0.010962,-0.998339,-0.720316,0.177783,0.067348,0.000584,-0.675196,0.217138,0.091213,0.903037,-0.692350,0.193270,0.033578,0.963665,-0.747566,0.190439,-0.003131,0.889575,-0.767442,0.216056,0.092310,0.886557,-0.673790,0.126817,0.094847,0.603505,-0.765552,0.122978,0.095274,0.854426,-0.675550,0.217247,0.091218,-0.692469,0.193346,0.033514,-0.747576,0.190867,-0.003112,-0.767626,0.216142,0.091909,-0.673423,0.125246,0.095068,-0.765126,0.123308,0.095570,,,
