Format Version,1.23,Take Name,mono_april_random_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-08-27 10.42.21.599 AM,Total Frames in Take,5024,Total Exported Frames,5024,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6
,ID,"C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C79C39F5643111EFEA32166A2DCF3B5","C8890","C8890","C8890","C8B10","C8B10","C8B10","C8B70","C8B70","C8B70","C8B80","C8B80","C8B80","C8B90","C8B90","C8B90","C8BA0","C8BA0","C8BA0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002248,0.164788,0.001835,-0.986325,-0.624872,0.125104,0.044241,0.000254,-0.579801,0.161382,0.071833,0.931793,-0.671916,0.162054,0.069770,0.917331,-0.581133,0.070625,0.072147,0.858313,-0.593436,0.142290,0.016494,0.874802,-0.673051,0.071132,0.069514,0.838534,-0.649892,0.143140,-0.034312,0.914636,-0.579927,0.161289,0.072056,-0.672114,0.161823,0.069642,-0.580954,0.070274,0.071741,-0.593210,0.142726,0.016593,-0.673120,0.071706,0.069802,-0.649904,0.142807,-0.034388
1,0.010000,0.001716,0.164834,0.002936,-0.986315,-0.624824,0.124988,0.044195,0.000302,-0.579683,0.161137,0.071843,0.883179,-0.671797,0.161996,0.069772,0.903529,-0.581197,0.070383,0.072029,0.901735,-0.593351,0.142151,0.016476,0.853591,-0.673114,0.071077,0.069387,0.857831,-0.649799,0.143185,-0.034335,0.899430,-0.579580,0.160723,0.072031,-0.672117,0.161828,0.069639,-0.580953,0.070270,0.071743,-0.593211,0.142708,0.016590,-0.673223,0.071612,0.069545,-0.649857,0.142789,-0.034375
2,0.020000,0.002171,0.164829,0.002058,-0.986318,-0.624858,0.125068,0.044227,0.000243,-0.579774,0.161321,0.071830,0.883179,-0.671889,0.162032,0.069761,0.903529,-0.581145,0.070564,0.072125,0.901735,-0.593413,0.142247,0.016486,0.853591,-0.673062,0.071110,0.069483,0.857831,-0.649864,0.143132,-0.034324,0.899430,-0.579892,0.161118,0.072025,-0.672132,0.161864,0.069652,-0.580947,0.070264,0.071748,-0.593236,0.142697,0.016569,-0.673104,0.071645,0.069780,-0.649836,0.142818,-0.034412
3,0.030000,0.002053,0.164384,0.002836,-0.986390,-0.624816,0.124991,0.044234,0.000302,-0.579654,0.161163,0.071815,0.870262,-0.671769,0.162013,0.069828,0.891759,-0.581160,0.070409,0.072066,0.897025,-0.593371,0.142137,0.016474,0.854126,-0.673079,0.071093,0.069507,0.848735,-0.649866,0.143131,-0.034286,0.908221,-0.579583,0.160702,0.072042,-0.672140,0.161864,0.069663,-0.580953,0.070270,0.071738,-0.593228,0.142694,0.016574,-0.673095,0.071636,0.069775,-0.649899,0.142780,-0.034387
4,0.040000,0.002167,0.164760,0.001684,-0.986330,-0.624862,0.125100,0.044243,0.000250,-0.579801,0.161390,0.071836,0.870262,-0.671916,0.162033,0.069779,0.891759,-0.581104,0.070633,0.072141,0.897025,-0.593434,0.142300,0.016496,0.854126,-0.673023,0.071110,0.069512,0.848735,-0.649892,0.143137,-0.034307,0.908221,-0.579924,0.161304,0.072057,-0.672105,0.161806,0.069653,-0.580942,0.070266,0.071742,-0.593223,0.142756,0.016584,-0.673083,0.071664,0.069811,-0.649893,0.142806,-0.034391
5,0.050000,0.001795,0.165077,0.002158,-0.986277,-0.624884,0.125075,0.044192,0.000261,-0.579812,0.161303,0.071846,0.933786,-0.671925,0.162022,0.069731,0.929643,-0.581189,0.070547,0.072070,0.876190,-0.593424,0.142273,0.016481,0.867526,-0.673105,0.071101,0.069382,0.852498,-0.649849,0.143201,-0.034358,0.904333,-0.579898,0.161122,0.072019,-0.672117,0.161836,0.069642,-0.580945,0.070266,0.071743,-0.593224,0.142753,0.016584,-0.673237,0.071650,0.069554,-0.649884,0.142822,-0.034389
